ngram,frequency,type
to,617,unigram
the,578,unigram
you,577,unigram
and,569,unigram
i,512,unigram
a,433,unigram
will,290,unigram
of,243,unigram
as,242,unigram
want,228,unigram
is,223,unigram
in,216,unigram
for,212,unigram
my,212,unigram
with,206,unigram
act,178,unigram
first,157,unigram
your,156,unigram
on,132,unigram
an,124,unigram
that,117,unigram
do,111,unigram
provide,109,unigram
or,104,unigram
be,103,unigram
not,98,unigram
request,95,unigram
should,86,unigram
write,80,unigram
need,80,unigram
it,79,unigram
me,75,unigram
help,70,unigram
can,69,unigram
reply,64,unigram
their,53,unigram
this,52,unigram
about,51,unigram
only,50,unigram
explanations,50,unigram
are,49,unigram
use,49,unigram
how,47,unigram
any,47,unigram
like,45,unigram
by,44,unigram
from,43,unigram
when,40,unigram
if,40,unigram
up,38,unigram
code,37,unigram
make,36,unigram
what,36,unigram
include,34,unigram
give,34,unigram
suggestion,34,unigram
create,33,unigram
answer,33,unigram
have,33,unigram
them,32,unigram
language,32,unigram
prompt,32,unigram
also,30,unigram
into,30,unigram
one,30,unigram
nothing,30,unigram
else,30,unigram
question,28,unigram
advice,28,unigram
ask,27,unigram
other,27,unigram
words,26,unigram
so,26,unigram
information,26,unigram
such,26,unigram
new,26,unigram
order,26,unigram
type,25,unigram
english,25,unigram
tell,24,unigram
but,24,unigram
questions,24,unigram
come,24,unigram
please,23,unigram
list,23,unigram
text,23,unigram
something,23,unigram
at,23,unigram
could,23,unigram
suggest,23,unigram
some,23,unigram
based,22,unigram
each,21,unigram
all,21,unigram
job,21,unigram
people,20,unigram
more,20,unigram
sentence,20,unigram
topic,20,unigram
data,20,unigram
commands,19,unigram
am,19,unigram
knowledge,19,unigram
time,19,unigram
related,18,unigram
techniques,18,unigram
software,18,unigram
develop,17,unigram
using,17,unigram
inside,17,unigram
sentences,17,unigram
details,17,unigram
different,17,unigram
concepts,17,unigram
examples,17,unigram
ideas,17,unigram
dan,17,unigram
best,16,unigram
engaging,16,unigram
strategies,16,unigram
task,16,unigram
these,16,unigram
plan,16,unigram
example,16,unigram
creating,15,unigram
who,15,unigram
understanding,15,unigram
character,15,unigram
game,15,unigram
development,15,unigram
its,15,unigram
after,15,unigram
generate,14,unigram
table,14,unigram
given,14,unigram
key,14,unigram
which,14,unigram
