Bigram,Frequency
i want,221
you to,215
want you,203
act as,170
to act,166
as a,134
my first,134
i will,131
you will,116
request is,91
is i,77
do not,69
i need,67
and you,62
first request,60
will provide,60
of the,51
need help,44
not write,42
is to,39
with the,38
you should,38
in the,37
reply with,36
will be,35
write explanations,35
first suggestion,32
suggestion request,32
provide you,32
as an,30
you with,30
and nothing,28
nothing else,28
on the,26
need to,25
should be,25
such as,24
in order,24
with a,24
for the,23
only reply,23
up with,23
to the,22
come up,22
order to,22
for a,20
when i,20
else do,19
tell you,19
i am,19
in a,19
you are,18
you can,18
based on,17
want to,17
will reply,16
how to,16
and the,15
do so,15
in english,15
your job,15
give me,14
like this,14
will write,14
and i,14
about the,14
and it,13
that can,13
provide a,13
related to,12
to do,12
english i,12
will do,12
of your,12
use your,12
it will,12
be your,12
job to,12
this could,12
task is,12
on how,12
type commands,11
to only,11
code block,11
to tell,11
you something,11
something in,11
command is,11
explanations my,11
first sentence,11
sentence is,11
give you,11
knowledge of,11
to create,11
to help,11
from the,11
to be,11
advice on,11
and other,11
list of,10
this my,10
first command,10
of my,10
to write,10
should use,10
be able,10
able to,10
will give,10
your task,10
provide some,10
of a,10
create a,9
me a,9
the terminal,9
brackets like,9
will ask,9
me the,9
will tell,9
in your,9
that are,9
any explanations,9
a new,9
the game,9
to come,9
and your,9
on their,9
help me,9
to provide,9
should only,9
provide the,8
will type,8
explanations do,8
curly brackets,8
as the,8
how the,8
’ s,8
should also,8
into the,8
information about,8
i have,8
focus on,8
of an,8
with an,8
looking for,8
your role,8
to reply,8
and a,8
as my,8
explanations or,8
the code,7
keep the,7
that i,7
generate a,7
one unique,7
unique code,7
block and,7
so by,7
by putting,7
text inside,7
to you,7
it and,7
words and,7
ask me,7
all the,7
for my,7
world i,7
you my,7
write any,7
help creating,7
can be,7
for your,7
to make,7
your goal,7
goal is,7
the topic,7
the most,7
it is,7
with your,7
the best,7
you a,7
can you,7
your knowledge,7
role is,7
plan for,7
as well,7
well as,7
you have,7
for example,7
me with,7
ask you,7
your first,7
on a,7
the first,7
me to,7
to generate,7
and provide,7
an expert,7
code and,6
for an,6
that will,6
for each,6
a list,6
make sure,6
with what,6
what the,6
inside one,6
not type,6
commands unless,6
unless i,6
i instruct,6
instruct you,6
so when,6
putting text,6
inside curly,6
language and,6
write you,6
will only,6
to me,6
a question,6
will also,6
you the,6
will create,6
goals and,6
with strategies,6
can do,6
to a,6
could include,6
will develop,6
start with,6
that the,6
or other,6
ways to,6
an individual,6
individual looking,6
with details,6
use the,6
along with,6
according to,6
provide me,6
if i,6
the output,6
the prompt,6
if you,6
the new,6
for me,6
will need,6
not provide,6
it with,6
do anything,6
dan can,6
the buddha,6
to ensure,5
the keyword,5
the word,5
detailed and,5
include any,5
output inside,5
reply the,5
questions and,5
and youll,5
only the,5
only answer,5
reply to,5
you could,5
will suggest,5
type of,5
the given,5
act like,5
creating an,5
will come,5
coach i,5
can help,5
could involve,5
write a,5
details about,5
should have,5
do something,5
to explain,5
concepts in,5
to use,5
to improve,5
about my,5
of that,5
help them,5
and advice,5
and come,5
the information,5
number of,5
to develop,5
is “,5
to enhance,5
in my,5
a lot,5
a prompt,5
programming language,5
be responsible,5
responsible for,5
the key,5
respond with,5
and create,5
to understand,5
ask for,5
like a,5
interpreter i,5
is the,5
about a,5
first prompt,5
first question,5
be a,5
have to,5
your responses,5
as dan,5
anything now,5
can not,5
the right,5
please provide,4
create an,4
an article,4
to my,4
other words,4
commands and,4
show i,4
terminal output,4
an english,4
you in,4
in any,4
the language,4
and sentences,4
the meaning,4
the conversation,4
reply me,4
numbers and,4
what to,4
the result,4
assistant for,4
sentences and,4
explanations on,4
on replies,4
replies my,4
is how,4
me in,4
to visit,4
also suggest,4
the audience,4
depending on,4
you may,4
if it,4
involved in,4
with some,4
some topics,4
and engaging,4
tools such,4
an engaging,4
engaging and,4
and creative,4
with creative,4
time you,4
some details,4
strategies for,4
help developing,4
concepts and,4
natural language,4
feedback on,4
to suggest,4
to find,4
” i,4
situation and,4
you do,4
someone who,4
advice and,4
guidance and,4
by the,4
suggest the,4
machine learning,4
your recommendations,4
treatment plan,4
focuses on,4
could be,4
tell me,4
if the,4
to pretend,4
are a,4
a code,4
in curly,4
lot of,4
what is,4
generator i,4
as you,4
i would,4
would like,4
will make,4
list and,4
if there,4
have been,4
it in,4
engage with,4
make a,4
will respond,4
at a,4
that is,4
provide detailed,4
it to,4
on your,4
write the,4
the sentence,4
that you,4
will describe,4
describe a,4
your advice,4
first move,4
generator for,4
from a,4
a different,4
do it,4
regular expressions,4
into a,4
prompt is,4
by a,4
express it,4
not include,4
moves and,4
new made,4
made up,4
up language,4
have numbers,4
i ask,4
just reply,4
concise and,4
bullet point,4
responses should,4
because dan,4
after each,4
to learn,4
the vessel,4
notes that,4
list for,4
easy to,4
the video,4
pretend to,4
write me,4
the girl,4
use of,4
tasked with,3
creating a,3
and to,3
a clear,3
understanding of,3
the outline,3
must be,3
so that,3
to include,3
should show,3
will speak,3
speak to,3
and answer,3
version of,3
but make,3
make them,3
reply as,3
the questions,3
wait for,3
a text,3
text based,3
you what,3
reply only,3
result of,3
english pronunciation,3
the weather,3
weather is,3
is in,3
in istanbul,3
istanbul i,3
and factual,3
question in,3
sentence and,3
state of,3
like character,3
answer like,3
all of,3
to promote,3
a product,3
target audience,3
on any,3
any additional,3
it ’,3
then you,3
talk about,3
providing your,3
topics related,3
strategies that,3
advice or,3
or suggesting,3
they can,3
to stay,3
an upcoming,3
a song,3
song and,3
to go,3
it i,3
an opinion,3
opinion piece,3
develop an,3
or a,3
a web,3
the story,3
the end,3
but the,3
that has,3
a movie,3
the movie,3
with you,3
can also,3
suggestions on,3
how they,3
through the,3
for improving,3
to express,3
enough to,3
need a,3
sure what,3
work on,3
about how,3
to explore,3
stepbystep instructions,3
resources for,3
for further,3
an ai,3
artificial intelligence,3
to give,3
improve their,3
developer i,3
creative ways,3
help designing,3
designing an,3
data from,3
social media,3
people for,3
topics such,3
a word,3
it back,3
provide information,3
over time,3
audience and,3
for guidance,3
their skills,3
trends in,3
would be,3
wants to,3
a potential,3
has been,3
techniques to,3
to achieve,3
mental health,3
overall wellbeing,3
details on,3
on an,3
provided by,3
a single,3
the number,3
of their,3
also need,3
to consider,3
strategies and,3
provide advice,3
that includes,3
that could,3
tips on,3
should i,3
could suggest,3
what i,3
am looking,3
the ai,3
output of,3
curly braces,3
not break,3
is your,3
the world,3
prompt generator,3
the title,3
my prompt,3
an example,3
to confirm,3
a tech,3
the name,3
an indepth,3
a software,3
and its,3
a topic,3
help writing,3
renewable energy,3
the functionality,3
functionality of,3
the words,3
and body,3
body language,3
key on,3
the table,3
job is,3
strengths and,3
the concept,3
to test,3
with one,3
to guide,3
into an,3
and share,3
techniques for,3
information and,3
basic steps,3
are the,3
you and,3
python code,3
with anything,3
my personal,3
preferences and,3
you recommend,3
recommend and,3
have a,3
you about,3
a restaurant,3
it you,3
am not,3
not sure,3
do i,3
is hello,3
like you,3
and then,3
to solve,3
step by,3
by step,3
bullet points,3
try to,3
the solution,3
first message,3
to answer,3
explanations when,3
it by,3
the text,3
the regular,3
or examples,3
examples of,3
of how,3
simply provide,3
answer my,3
the answer,3
there is,3
question is,3
the sentences,3
i wrote,3
emojis i,3
i dont,3
hello what,3
fill in,3
for students,3
level of,3
one of,3
make the,3
game board,3
input forms,3
your response,3
language i,3
written between,3
to follow,3
the same,3
the data,3
question that,3
your answer,3
words just,3
commit message,3
the company,3
and what,3
a way,3
topic and,3
will generate,3
how are,3
are you,3
you i,3
summary of,3
cover letter,3
the original,3
immerse yourself,3
yourself into,3
the role,3
role of,3
and do,3
not do,3
dan none,3
none of,3
up the,3
answer to,3
the process,3
a detailed,3
will end,3
and data,3
the examples,3
and easy,3
league of,3
of legends,3
at the,3
expert in,3
and suggestions,3
the composition,3
the users,3
column should,3
you answer,3
flirting with,3
practical application,3
might be,3
architectural styles,3
imagine you,2
are an,2
a smart,2
smart contract,2
contract for,2
person who,2
how many,2
develop a,2
for this,2
for achieving,2
and any,2
the top,2
top 10,2
from google,2
i can,2
a long,2
any other,2
a linux,2
linux terminal,2
terminal i,2
terminal should,2
and improver,2
improver i,2
any language,2
translate it,2
answer in,2
the corrected,2
corrected and,2
and improved,2
improved version,2
my text,2
text in,2
to replace,2
replace my,2
my simplified,2
simplified a0level,2
a0level words,2
sentences with,2
with more,2
more beautiful,2
beautiful and,2
and elegant,2
sentences keep,2
meaning same,2
them more,2
the correction,2
correction the,2
the improvements,2
improvements and,2
an interviewer,2
the candidate,2
the interview,2
once i,2
with me,2
and wait,2
my answers,2
does and,2
is hi,2
javascript console,2
youll only,2
a to,2
first column,2
youll reply,2
of excel,2
excel table,2
table as,2
as text,2
explanations i,2
formulas and,2
pronunciation assistant,2
for turkish,2
turkish speaking,2
speaking people,2
people i,2
you sentences,2
answer their,2
their pronunciations,2
pronunciations and,2
else the,2
the replies,2
replies must,2
must not,2
not be,2
be translations,2
translations of,2
my sentence,2
but only,2
only pronunciations,2
pronunciations pronunciations,2
pronunciations should,2
use turkish,2
turkish latin,2
latin letters,2
letters for,2
for phonetics,2
phonetics do,2
spoken english,2
teacher and,2
english and,2
to keep,2
your reply,2
100 words,2
words i,2
to strictly,2
strictly correct,2
correct my,2
my grammar,2
grammar mistakes,2
mistakes typos,2
typos and,2
factual errors,2
errors i,2
travel guide,2
guide i,2
my location,2
location and,2
in some,2
some cases,2
also give,2
information such,2
the speaker,2
to respond,2
using the,2
you must,2
of character,2
character i,2
promote a,2
your choice,2
to reach,2
stories that,2
imaginative and,2
and captivating,2
stories or,2
to capture,2
may choose,2
or topics,2
can talk,2
etc my,2
you descriptions,2
descriptions of,2
of football,2
on what,2
what has,2
and focus,2
rather than,2
to current,2
current events,2
events and,2
will use,2
skills to,2
also be,2
be sure,2
make it,2
audience my,2
