spotify_track_uri,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped,date,time,hour,time_of_day,text_features,recommended_tracks
6dGnYIeXmHdcikdzNNDMm2,android,185733,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road,fwdbtn,trackdone,False,False,2019-11-26,05:20:00,5,Morning,Here Comes The Sun - Remastered 2009 The Beatles,"Here Comes The Sun - Remastered 2009, Here Comes The Sun - Remastered 2009, Here Comes The Sun - Remastered 2009, Sun King - Remastered 2009, Here, There And Everywhere - Remastered 2009, Because - Remastered 2009, Two Of Us - Remastered 2009, You Can't Do That - Remastered 2009, Something - Remastered 2009, Back In The U.S.S.R. - Remastered 2009"
5x3e3ycjCYXFskwfNgNhaz,android,208237,Times Like These,Glen Campbell,Meet Glen Campbell,fwdbtn,trackdone,True,False,2021-04-28,15:13:00,15,Afternoon,Times Like These Glen Campbell,"Good Times Bad Times - Remaster, Good Times Bad Times - Remaster, Good Times Bad Times - Remaster, First Times, How Many More Times - Remaster, How Many More Times - Remaster, The Times They Are A-Changin', The Times They Are A-Changin', The Times They Are A-Changin', Someone Like You"
5MsZIaCYY6Tsdph0LiB0hE,android,2103,Alone Together,Fall Out Boy,Save Rock And Roll,fwdbtn,fwdbtn,True,False,2018-07-18,04:44:00,4,Late Night,Alone Together Fall Out Boy,"Alone Together, Young Volcanoes, Young Volcanoes, Young Volcanoes, Sugar, We're Goin Down, boy, The Fall, Hammer To Fall, Hammer To Fall, Hammer To Fall"
2b8fOow8UzyDFAE27YhOZM,cast to device,189487,Memories,Maroon 5,Memories,trackdone,trackdone,False,False,2020-03-14,03:18:00,3,Late Night,Memories Maroon 5,"Memories, Memories, Memories, Memories, Memories, Memories, Memories, Sugar, Sugar, Sugar"
24YmWQgunJGAU8El3ndkyn,android,198221,In the Flesh?,Pink Floyd,The Wall,fwdbtn,trackdone,True,False,2024-05-31,21:31:00,21,Night,In the Flesh? Pink Floyd,"In the Flesh?, In the Flesh?, In the Flesh?, The Show Must Go On, Us and Them, Us and Them, Us and Them, Time, Nobody Home, On the Run"
63OJHHu2ambZAvdrvhdT2b,android,591,I Found a Reason - 2015 Remaster,The Velvet Underground,Loaded,fwdbtn,fwdbtn,True,False,2019-10-23,23:07:00,23,Night,I Found a Reason - 2015 Remaster The Velvet Underground,"I Found a Reason - 2015 Remaster, Cool It Down - 2015 Remaster, Cool It Down - 2015 Remaster, Cool It Down - 2015 Remaster, Cool It Down - 2015 Remaster, Who Loves the Sun - 2015 Remaster, Oh! Sweet Nuthin' - 2015 Remaster, Rock & Roll - Full Length Version; 2015 Remaster, Train Round the Bend - 2015 Remaster, Train Round the Bend - 2015 Remaster"
24AFErHUiORpll04wrR6u4,android,23,Eleanor Put Your Boots On,Franz Ferdinand,You Could Have It So Much Better,fwdbtn,backbtn,True,False,2022-09-30,19:07:00,19,Evening,Eleanor Put Your Boots On Franz Ferdinand,"Eleanor Put Your Boots On, Eleanor Put Your Boots On, Eleanor Rigby - Remastered 2009, Eleanor Rigby - Remastered 2009, Eleanor Rigby - Remastered 2009, Boots of Spanish Leather, Austin (Boots Stop Workin'), Oh, quand je dors, S 282, Here Comes The Sun - Remastered 2009, Times Like These"
3iYYUkgkIgZy20xUVaOyLU,android,45770,Diggin' My Grave,Lady Gaga,A Star Is Born Soundtrack,fwdbtn,fwdbtn,False,False,2019-05-27,07:56:00,7,Morning,Diggin' My Grave Lady Gaga,"Before I Cry, Look What I Found, Angel Down, Always Remember Us This Way, Always Remember Us This Way, Hair Body Face, Lady Day, Lady Day, We Owned The Night, We Owned The Night"
5hBOEqqkcQaUgkRhh6EyX4,android,366978,With God on Our Side,Bob Dylan,The Times They Are A-Changin',fwdbtn,logout,False,False,2019-04-14,18:16:00,18,Evening,With God on Our Side Bob Dylan,"With God on Our Side, With God on Our Side, With God on Our Side, With God on Our Side, Bob Dylan's Blues, Bob Dylan's Blues, Bob Dylan's Blues, Bob Dylan's Dream, Bob Dylan's Dream, Bob Dylan's Dream"
4Jw6ENp38dMtW97Ll0BkZz,android,211795,No Surprises,Scott Bradlee's Postmodern Jukebox,33 Resolutions Per Minute,fwdbtn,trackdone,False,False,2021-07-01,19:19:00,19,Evening,No Surprises Scott Bradlee's Postmodern Jukebox,"No Surprises, Creep, Ain't No Rest for the Wicked, No Surprises, No Surprises, No Surprises, The Spiritual, The Spiritual, I'm Getting Sentimental Over You, The Entertainer: A Ragtime Two-Step"
