Trigram,Frequency
want you to,201
i want you,199
you to act,164
to act as,160
act as a,130
request is i,77
my first request,59
first request is,58
and you will,54
is i need,52
i will provide,46
i need help,44
do not write,41
not write explanations,33
my first suggestion,32
first suggestion request,32
suggestion request is,32
will provide you,32
act as an,29
provide you with,29
and nothing else,27
come up with,22
in order to,22
reply with the,20
nothing else do,19
else do not,19
i need to,16
i want to,16
only reply with,15
you will provide,14
i will do,12
i will write,12
and it will,12
it will be,12
will be your,12
be your job,12
your job to,12
task is to,12
you will reply,11
you to only,11
when i need,11
need to tell,11
to tell you,11
tell you something,11
you something in,11
something in english,11
in english i,11
explanations my first,11
my first sentence,11
first sentence is,11
to only reply,10
english i will,10
like this my,10
this my first,10
write explanations my,10
be able to,10
i will give,10
will give you,10
is i want,10
your task is,10
will provide some,10
will reply with,9
will do so,9
first command is,9
to come up,9
you will be,9
you should only,9
explanations do not,8
curly brackets like,8
my first command,8
i will tell,8
will tell you,8
you should also,8
job to come,8
is i have,8
you should use,8
should use your,8
on how to,8
you to reply,8
act as my,8
should only reply,8
i will type,7
one unique code,7
unique code block,7
code block and,7
block and nothing,7
write explanations do,7
do so by,7
brackets like this,7
not write any,7
need help creating,7
your goal is,7
goal is to,7
your knowledge of,7
your role is,7
role is to,7
as well as,7
to reply with,7
based on the,6
give me a,6
a list of,6
inside one unique,6
do not type,6
not type commands,6
type commands unless,6
commands unless i,6
unless i instruct,6
i instruct you,6
instruct you to,6
you to do,6
to do so,6
do so when,6
so when i,6
so by putting,6
by putting text,6
putting text inside,6
text inside curly,6
inside curly brackets,6
world i want,6
you will only,6
is i am,6
write any explanations,6
you will create,6
up with strategies,6
this could include,6
you with a,6
you will develop,6
an individual looking,6
use your knowledge,6
you with details,6
i will ask,6
do not provide,6
related to the,5
reply with what,5
with what the,5
output inside one,5
only reply the,5
will write you,5
you will suggest,5
to act like,5
you will come,5
will come up,5
coach i will,5
this could involve,5
individual looking for,5
and come up,5
request is “,5
provide me with,5
and i will,5
i will reply,5
will be responsible,5
be responsible for,5
is to provide,5
you will need,5
will need to,5
for me to,5
will provide a,5
any explanations or,5
do anything now,5
will type commands,4
type commands and,4
show i want,4
with the terminal,4
the terminal output,4
terminal output inside,4
as an english,4
words and sentences,4
ask me the,4
write explanations on,4
explanations on replies,4
on replies my,4
replies my first,4
you will also,4
help creating an,4
you should be,4
you with some,4
that can help,4
tools such as,4
and your task,4
is to help,4
need to write,4
to write a,4
up with creative,4
provide some details,4
some details about,4
need help developing,4
to help me,4
” i want,4
you with an,4
to help them,4
and advice on,4
and your role,4
guidance and advice,4
will provide me,4
you are a,4
a lot of,4
generator i will,4
i would like,4
you will respond,4
will respond with,4
act like a,4
interpreter i will,4
code and you,4
and i am,4
reply with your,4
i will describe,4
first prompt is,4
to generate a,4
my first question,4
express it with,4
not include any,4
new made up,4
made up language,4
when i want,4
just reply with,4
of the topic,4
can do anything,4
your responses should,4
pretend to be,4
to be a,4
me a list,3
commands and you,3
what the terminal,3
should show i,3
i will speak,3
will speak to,3
speak to you,3
to you in,3
wait for my,3
as a text,3
a text based,3
reply me the,3
tell you what,3
the result of,3
an english pronunciation,3
sentences and you,3
will only answer,3
sentence is how,3
the weather is,3
istanbul i want,3
will reply to,3
question in your,3
give you the,3
want to visit,3
will only reply,3
for a new,3
it ’ s,3
some topics related,3
topics related to,3
to create a,3
song and you,3
order to create,3
it i want,3
an opinion piece,3
details about the,3
i need a,3
job to explain,3
resources for further,3
developer i will,3
need help designing,3
help designing an,3
with strategies for,3
topics such as,3
give you a,3
of the word,3
that can be,3
with an individual,3
looking for guidance,3
based on their,3
with details on,3
details on an,3
the number of,3
plan for the,3
should be able,3
also need to,3
need to consider,3
provide advice on,3
you could suggest,3
i am looking,3
am looking for,3
reply with a,3
the output of,3
output of the,3
you to pretend,3
do not break,3
the world i,3
as a prompt,3
need help writing,3
key on the,3
on the table,3
your job is,3
job is to,3
i will make,3
engage with the,3
will write the,3
will ask you,3
with a list,3
as my personal,3
you recommend and,3
recommend and nothing,3
i have a,3
tell you about,3
will describe a,3
advice on how,3
i am not,3
am not sure,3
sentence is hello,3
would like you,3
like you to,3
step by step,3
write explanations when,3
do it by,3
is to generate,3
the regular expressions,3
first question is,3
will do it,3
the game board,3
of the game,3
up language i,3
i ask you,3
you do not,3
explanations or other,3
or other words,3
other words just,3
words just reply,3
information about the,3
and you should,3
in a way,3
you will generate,3
how are you,3
are you i,3
you i want,3
immerse yourself into,3
yourself into the,3
into the role,3
the role of,3
dan none of,3
none of your,3
of your responses,3
because dan can,3
dan can do,3
you can not,3
you a question,3
you have to,3
provide a detailed,3
for the examples,3
and easy to,3
league of legends,3
an expert in,3
as an expert,3
and you answer,3
imagine you are,2
you are an,2
smart contract for,2
the code and,2
as a linux,2
a linux terminal,2
linux terminal i,2
the terminal should,2
terminal should show,2
and improver i,2
improver i will,2
in any language,2
any language and,2
language and you,2
translate it and,2
it and answer,2
and answer in,2
answer in the,2
in the corrected,2
the corrected and,2
corrected and improved,2
and improved version,2
improved version of,2
version of my,2
of my text,2
my text in,2
english i want,2
you to replace,2
to replace my,2
replace my simplified,2
my simplified a0level,2
simplified a0level words,2
a0level words and,2
and sentences with,2
sentences with more,2
with more beautiful,2
more beautiful and,2
beautiful and elegant,2
and sentences keep,2
sentences keep the,2
keep the meaning,2
the meaning same,2
make them more,2
reply the correction,2
the correction the,2
correction the improvements,2
the improvements and,2
improvements and nothing,2
i will be,2
you will ask,2
will ask me,2
reply as the,2
me the questions,2
and wait for,2
for my answers,2
sentence is hi,2
youll only reply,2
and youll reply,2
result of excel,2
of excel table,2
excel table as,2
table as text,2
formulas and youll,2
english pronunciation assistant,2
pronunciation assistant for,2
assistant for turkish,2
for turkish speaking,2
turkish speaking people,2
speaking people i,2
people i will,2
write you sentences,2
you sentences and,2
only answer their,2
answer their pronunciations,2
their pronunciations and,2
pronunciations and nothing,2
nothing else the,2
else the replies,2
the replies must,2
replies must not,2
must not be,2
not be translations,2
be translations of,2
translations of my,2
but only pronunciations,2
only pronunciations pronunciations,2
pronunciations pronunciations should,2
pronunciations should use,2
should use turkish,2
use turkish latin,2
turkish latin letters,2
latin letters for,2
letters for phonetics,2
for phonetics do,2
phonetics do not,2
is how the,2
how the weather,2
weather is in,2
is in istanbul,2
in istanbul i,2
you in english,2
in english and,2
english and you,2
reply to me,2
words i want,2
you to strictly,2
to strictly correct,2
strictly correct my,2
correct my grammar,2
my grammar mistakes,2
grammar mistakes typos,2
mistakes typos and,2
typos and factual,2
and factual errors,2
factual errors i,2
errors i want,2
ask me a,2
me a question,2
travel guide i,2
guide i will,2
write you my,2
in some cases,2
of the given,2
information such as,2
such as the,2
state of the,2
answer like character,2
only answer like,2
will create a,2
to promote a,2
of your choice,2
for the audience,2
you may choose,2
if it ’,2
you can talk,2
can talk about,2
etc my first,2
give you descriptions,2
you descriptions of,2
with some topics,2
related to current,2
to current events,2
current events and,2
you will use,2
to make it,2
audience my first,2
i want an,2
as a motivational,2
some information about,2
with strategies that,2
strategies that can,2
for an upcoming,2
composer i will,2
the lyrics to,2
a song and,2
the topic at,2
topic at hand,2
opinion piece about,2
will develop an,2
develop an engaging,2
an engaging and,2
engaging and creative,2
the end my,2
end my first,2
and so on,2
but the aim,2
the aim is,2
aim is to,2
critic you will,2
the most important,2
you can also,2
involved in a,2
on how they,2
how they can,2
myself i want,2
make sure it,2
sure it is,2
a speech about,2
teacher i will,2
provide some topics,2
to the study,2
the study of,2
study of philosophy,2
of philosophy and,2
philosophy and it,2
these concepts in,2
could include providing,2
down complex ideas,2
complex ideas into,2
ideas into smaller,2
need help understanding,2
help understanding how,2
be applied in,2
questions related to,2
help developing an,2
concepts and it,2
to explain them,2
explain them in,2
them in easytounderstand,2
in easytounderstand terms,2
easytounderstand terms this,2
terms this could,2
providing stepbystep instructions,2
stepbystep instructions for,2
demonstrating various techniques,2
various techniques with,2
techniques with visuals,2
with visuals or,2
visuals or suggesting,2
or suggesting online,2
suggesting online resources,2
online resources for,2
for further study,2
further study my,2
study my first,2
as an ai,2
who needs help,2
is to use,2
artificial intelligence tools,2
intelligence tools such,2
order to suggest,2
of an app,2
or other digital,2
other digital product,2
digital product and,2
product and it,2
with creative ways,2
creative ways to,2
for my new,2
specialist i will,2
provide some specific,2
some specific information,2
specific information about,2
company i want,2
as a life,2
a life coach,2
details about my,2
and goals and,2
can help me,2
advice on various,2
you a word,2
a word and,2
word and you,2
you will research,2
should also provide,2
you will write,2
write an opinion,2
want to write,2
that i want,2
as a career,2
skills interests and,2
someone who wants,2
who wants to,2
techniques to create,2
you with all,2
with all the,2
all the information,2
the information needed,2
information needed about,2
depending on their,2
and other relevant,2
other relevant factors,2
for guidance and,2
advice on managing,2
on managing their,2
overall wellbeing my,2
wellbeing my first,2
someone who can,2
on an individual,2
etc you should,2
knowledge of the,2
provided by the,2
keep in mind,2
and other treatments,2
suggest the best,2
consultant i will,2
with details related,2
to suggest the,2
project my first,2
doctor i will,2
able to recommend,2
will also need,2
to consider the,2
consider the patient,2
the patient ’,2
patient ’ s,2
’ s age,2
s age lifestyle,2
age lifestyle and,2
when providing your,2
providing your recommendations,2
your recommendations my,2
recommendations my first,2
is “ come,2
“ come up,2
up with a,2
with a treatment,2
a treatment plan,2
that focuses on,2
patient suffering from,2
a financial plan,2
financial plan for,2
need to provide,2
plan for a,2
factors such as,2
at same time,2
time my first,2
that could be,2
with expertise on,2
figure out whats,2
tell me what,2
order to enhance,2
how should i,2
book you will,2
for example if,2
ask you for,2
additionally if necessary,2
if necessary you,2
necessary you could,2
how to stay,2
game i will,2
that may be,2
the last few,2
access to the,2
to the internet,2
will reply as,2
the terminal would,2
inside a code,2
a code block,2
if i need,2
in curly braces,2
curly braces like,2
braces like this,2
not break character,2
what is your,2
is your first,2
a prompt generator,2
you give me,2
according to the,2
to the title,2
the prompt should,2
you my first,2
as an ascii,2
thoughts i want,2
alternatives according to,2
according to my,2
to my prompt,2
list and nothing,2
write explanations reply,2
explanations reply ok,2
reply ok to,2
ok to confirm,2
to confirm i,2
confirm i want,2
as a tech,2
you the name,2
the name of,2
name of a,2
package and its,2
if there are,2
help writing an,2
writing an article,2
as an it,2
the functionality of,2
functionality of the,2
way my first,2
i placed the,2
placed the key,2
the key on,2
need help reviewing,2
renewable energy sources,2
as a social,2
a social media,2
order to increase,2
to increase brand,2
increase brand awareness,2
as a socrat,2
a socrat you,2
use the socratic,2
the socratic method,2
at a time,2
will be able,2
writer you will,2
and create a,2
the importance of,2
on body language,2
body language and,2
the attention of,2
need help delivering,2
help delivering a,2
you will apply,2
around the world,2
to provide detailed,2
you will help,2
for a client,2
how to do,2
basic steps of,2
up with an,2
to you and,2
you and i,2
ask you to,2
a python interpreter,2
python interpreter i,2
not provide any,2
is printhello world,2
printhello world i,2
me with a,2
critic i will,2
provide a review,2
as a virtual,2
diagnosis and treatment,2
and treatment plan,2
i have been,2
you about my,2
i am a,2
situation and you,2
will provide advice,2
how to handle,2
to handle it,2
handle it you,2
it you should,2
with your advice,2
your advice and,2
advice and nothing,2
not sure what,2
sure what to,2
what to do,2
to do i,2
do i want,2
give me an,2
expert i will,2
to solve my,2
solve my problem,2
in your answers,2
feel free to,2
your first prompt,2
as a software,2
information about a,2
respond with the,2
explanations when i,2
you should provide,2
write explanations or,2
explanations or examples,2
or examples of,2
examples of how,2
of how the,2
my first prompt,2
prompt is to,2
you with the,2
events sights or,2
sights or people,2
simply provide the,2
interpretations based on,2
personal opinions or,2
to answer my,2
answer my first,2
you to translate,2
to translate the,2
translate the sentences,2
the sentences i,2
sentences i wrote,2
i wrote into,2
write the sentence,2
the sentence and,2
sentence and you,2
you will express,2
will express it,2
it with emojis,2
with emojis i,2
i just want,2
just want you,2
you to express,2
to express it,2
reply with anything,2
with anything but,2
it by wrapping,2
by wrapping it,2
wrapping it in,2
it in curly,2
in curly brackets,2
brackets like like,2
like like this,2
is hello what,2
php interpreter i,2
traffic or house,2
or house accident,2
house accident emergency,2
accident emergency response,2
emergency response crisis,2
fill in the,2
in the blank,2
list of sentences,2
a blank space,2
blank space where,2
should not include,2
include any explanations,2
explanations or additional,2
the list of,2
words and a,2
is to test,2
to test the,2
of the software,2
do not include,2
will make the,2
you will update,2
my moves and,2
if there is,2
and o for,2
moves do not,2
make the first,2
the first move,2
it with the,2
with the new,2
the new made,2
the contents of,2
on the pages,2
the pages should,2
pages should have,2
should have numbers,2
have numbers next,2
numbers next to,2
next to them,2
to them written,2
them written between,2
written between when,2
between when i,2
with the number,2
with the same,2
example input value,2
want to go,2
followed by a,2
by a collection,2
a collection name,2
to show the,2
one of these,2
want you act,2
you act as,2
as a language,2
and i would,2
you to generate,2
design partner agreement,2
important aspects of,2
please keep the,2
ensure that the,2
the topic my,2
topic my first,2
my first topic,2
first topic is,2
the following format,2
songs that are,2
a cover letter,2
technology i want,2
and do not,2
can not do,2
as dan none,2
do something because,2
something because dan,2
keep up the,2
up the act,2
the act of,2
well as you,2
as you can,2
if you are,2
fully immerse yourself,2
not do something,2
if you understood,2
the game is,2
you are the,2
of the buddha,2
i will send,2
it and the,2
working on a,2
project for a,2
if it is,2
